frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,5.0,1131.991943359375 579.951416015625 1763.410888671875 942.2376708984375,1238.55859375 808.9491577148438 1323.4927978515625 857.6405639648438,0.52675861120224,SPF-787,0.9663191437721252
0,1.0,249.7262420654297 520.5729370117188 702.7000732421875 976.839111328125,433.8145751953125 760.0402221679688 518.6435546875 818.6434936523438,0.5206798315048218,SPF-9A9,0.9767734408378601
0,6.0,784.974609375 872.4896850585938 1060.2608642578125 1078.6474609375,896.0758666992188 893.4732055664062 955.0233764648438 934.2200317382812,0.30516383051872253,RAFE,0.6969259977340698
1,1.0,248.05884844682097 510.9673339861651 684.8962520527577 952.5341612532391,432.9965515136719 762.5914306640625 515.8657836914062 818.4862060546875,0.691952645778656,SPF-9A9,0.9592043161392212
1,5.0,1129.6734027322989 583.5491038630855 1759.8225486348495 946.8426548960324,1241.70361328125 809.6372680664062 1319.509765625 855.4363403320312,0.43446362018585205,SPF-787,0.9500316977500916
1,6.0,782.8591674099176 865.6264106866114 1061.4226051014966 1078.5097256568076,895.742919921875 892.6871337890625 955.2867431640625 934.8006591796875,0.38603830337524414,RAFE,0.6978812217712402
2,1.0,245.68471358317439 508.0955877187281 694.6393669390352 962.8303134921053,433.33197021484375 759.002197265625 516.4027099609375 816.2314453125,0.5265358090400696,SPF-9A9,0.9431721568107605
2,5.0,1101.138171833268 602.2587084489874 1610.0887228012382 929.2211052901221,1243.7001953125 809.4957275390625 1322.9468994140625 854.173095703125,0.34953251481056213,SPF-787,0.956569254398346
2,6.0,780.7470229478356 858.0061964932271 1061.6518986926483 1075.9557548023743,895.398193359375 889.0167846679688 955.9764404296875 936.1074829101562,0.22879178822040558,RAFE,0.6671006679534912
3,1.0,242.25138651220306 507.0373283726017 686.9900526813999 965.6048333828151,432.4671936035156 762.3310546875 517.0560302734375 818.3402709960938,0.6937493681907654,SPF-9A9,0.9579976201057434
3,5.0,1108.1366070299257 609.2222079998505 1570.6653541473054 924.8197078143266,1244.8304443359375 812.788330078125 1320.6031494140625 857.870361328125,0.3841569423675537,SPF-787,0.9554658532142639
3,6.0,784.2401496714016 855.7622340107258 1064.0439931997769 1076.4648325489486,891.9014892578125 890.5458984375 960.87109375 937.57470703125,0.24184846878051758,RAFE,0.6777021288871765
4,1.0,245.0779412059496 511.91568008382546 683.6127325964441 965.4896713966573,434.1898498535156 763.0543212890625 516.947509765625 819.72216796875,0.5784472823143005,SPF-9A9,0.9636496901512146
4,5.0,1136.5469790361556 589.5514088052016 1663.3188407617351 934.247891912524,1242.598388671875 813.490966796875 1321.5216064453125 860.5267333984375,0.45841407775878906,SPF-787,0.9702989459037781
4,6.0,785.2933791930695 845.6025293198622 1067.526767060607 1074.7104429948154,896.2919311523438 893.50634765625 958.9447631835938 938.55615234375,0.27555328607559204,RAFE,0.6614147424697876
5,1.0,246.71672521065886 519.2331332052491 677.6670537120207 955.2317806597524,429.9095764160156 768.947021484375 513.8106689453125 819.262939453125,0.6695811152458191,SPF-9A9,0.9606899619102478
5,5.0,1120.3130692354819 598.9645979127633 1622.209505389226 936.8856911936916,1243.6771240234375 814.8912963867188 1322.4178466796875 861.7391967773438,0.5655332803726196,SPF-787,0.9553053975105286
